input,output
Translate Bangla to English টম তাকে দেখলো।,tom saw her.
Translate Bangla to Sylheti: সরিষার তেল,কাচাতেল
Translate Sylheti to Bangla: কুন্তাউ,কোনো কিছুই
Translate Bangla to English ওই ভাইরাসের কারণে অনেক হাতি তাদের জীবন হারিয়েছে।,"because of that virus, many elephants lost their lives."
Translate English to Bangla: is he a doctor?,সে কি ডাক্তার?
Translate English to Bangla: i feel cold.,আমার শীত করছে।
Translate Sylheti to Bangla: ধুলারে উড়াইয়া নেয়,ধুলাকে উড়িয়ে নিয়ে যায়
Translate English to Bangla: stop screaming.,চেঁচানো বন্ধ করুন।
Translate Sylheti to Bangla: খারিজ,বাতিল
Translate Sylheti to Bangla: চিখচিকা,চিহ্নিত
Translate Bangla to English তুমি কাকে বিশ্বাস করবে?,who would believe me?
Translate Bangla to Sylheti: করছেন,করিতরা
Translate Bangla to English টমকে চুমু করুন।,kiss tom.
Translate Bangla to Sylheti: প্রতিবেশী,আরি ফরি
Translate English to Bangla: it is just half past seven.,এখন সবে সাড়ে সাতটা বাজে।
Translate Bangla to Sylheti: দাপাদাপি,আমআমি
Translate Bangla to Sylheti: রাগ,গুছা
Translate English to Bangla: i hope they agree.,আশা করি তারা রাজি হবে।
Translate Bangla to English তারা গাড়িটা চুরি করতে চাইলো।,they wanted to steal the car.
Translate Sylheti to Bangla: খেড়ুল,কচি
Translate Sylheti to Bangla: আম,দুর্বল
Translate Bangla to Sylheti: ইঁদুর,উন্দুর
Translate Bangla to English আপনাকে অগ্রিম দিতে হবে।,you must pay in advance.
Translate Bangla to English আমার লাঠি কোথায়?,where's my cane?
Translate Bangla to Sylheti: সিলেটি মানুষে নাকি পড়ালেখা করেন না,সিলেটি মাইনষে বুলে পড়ালেখা করইন না
Translate English to Bangla: i can't believe that you bought that house.,আমি বিশ্বাস করতে পারছি না যে আপনি সেই বাড়িটি কিনেছেন।
Translate English to Bangla: you can eat all you want.,আপনারা যত ইচ্ছে তত খেতে পারেন।
Translate Bangla to English এ একজন ডাক্তার।,he is a doctor.
Translate Bangla to Sylheti: খোঁজা,তুকানি
Translate Bangla to English আমার হাতটা ধরো।,hold my hand.
Translate Sylheti to Bangla: খাওন  জিয়ন,খাওয়া- বাঁচা
Translate Sylheti to Bangla: উমা্ন্যা,যে পরের বাড়িতে থাকে
Translate Bangla to English সবকিছুই আলোচনাসূত্রে মীমাংসাযোগ্য।,everything's negotiable.
Translate English to Bangla: is this seat taken?,এই আসনটা কি নেওয়া হয়ে গেছে?
Translate Sylheti to Bangla: ঘুমাইলো,ঘুমালেো
Translate Bangla to Sylheti: তৈয়ার,তেয়ার
Translate English to Bangla: humans can't see ultraviolet light.,মানুষরা অতিবেগুনী রশ্মিকে দেখতে পায় না।
Translate Bangla to Sylheti: বোকা,উদনা
Translate English to Bangla: tom caught the thief.,টম চোরটাকে ধরে ফেললো।
Translate Bangla to Sylheti: অবাক,তাইজ্জুব
Translate Sylheti to Bangla: পক্ত,পরিপক্ক
Translate Bangla to Sylheti: তেজস্বর,তেজাইল
Translate Sylheti to Bangla: চন্নি,চাঁদের আলো
Translate Sylheti to Bangla: আদ্দাবাদ্দা,গৃহহীন
Translate English to Bangla: tom told me he could get us what we need.,টম আমাকে বলেছিল যে সে আমাদের যা দরকার তা দেবে।
Translate Sylheti to Bangla: পছতানি,আফসোস করা
Translate Bangla to English প্রবেশমূল্য কত?,what's the admission charge?
Translate Bangla to English এখানে আপনার ঠিকানা লিখুন।,write your address here.
Translate Bangla to Sylheti: ক্ষমতা,খেমেতা
Translate Bangla to English সাবধানে!,watch out!
Translate Bangla to English বাচ্চাদের ঔষধের সংস্পর্শ থেকে দূরে রাখুন।,keep children away from medicine.
Translate English to Bangla: what does that word mean?,ওই শব্দটার অর্থ কী?
Translate Bangla to English আমি তোমাকে চিৎকার করতে শুনলাম।,i heard you screaming.
Translate Bangla to Sylheti: তোমাকে তো সবসময় মনে রাখি,তোমারে তো হক্কল সময় মনডাত রাখি
Translate Bangla to Sylheti: আশ্রয় নেয়া বা দেয়া,আযানো
Translate Bangla to Sylheti: সঠিকভাবে রাখা,ঠামানো
Translate English to Bangla: can you keep an eye on tom?,তুই কি টমের উপর নজর রাখতে পারবি?
Translate English to Bangla: i'm genuinely happy for tom.,আমি প্রকৃতই টমের জন্য খুশি হয়েছি।
Translate English to Bangla: this isn't the first time.,এটাই প্রথমবার না।
Translate English to Bangla: i went to the hospital.,আমি হাসপাতালে গেছিলাম।
Translate Bangla to Sylheti: থেকে,থাকি
Translate English to Bangla: how long will you stay here?,তুমি এখানে কতক্ষণ থাকবে?
Translate Bangla to Sylheti: গভীর,অগুর
Translate Bangla to Sylheti: হালকা,চিককা
Translate Bangla to English আমি নীচে আছি।,i'm downstairs.
