sylheti,bangla
আলগা দুলগা,নাগালের বাইরে
আলগারি,কামলা
আলগুনি,আলনা
আলচর বিবি,শ্রমবিমুখ
আলচি,অপারগ
আলটানো,অনুরোধ করা
আলতালা,তালা দেবার হুক
আলতু ফালতু,বাজে কথা
আলদ হাপ,গোখরা সাপ
আলপেরেট,লম্বা চুল
আল বাইয়া,হাল চাষ করে
আলম,বিধান
আললাই,আমার জন্য
আলবিই হুলবিই,আমের বিষ
আলমানো,অনুমানে
আলমাস,তরকারি বিশেষ
আলসতরি,ছুঁৎবাই গ্রস্ত
আলসা,এক ঝলক
আলা,আলোকিত
আলাই,মিষ্টান্ন
আলাইচ,আ'চ
আলাজালা,এলোমেলো
আলাইদদা,আচানক
আলাবাদি,ভবঘুরে
আলি,টিকটিকি
আ'লি,হেলে
আলিতপরা,অভাবে পড়া
আলিপতা,বাধা
আলিমিলি,তন্দ্রা
আলিয়া,যেখানে রাঁধা হয়
আলুকখা,অদ্ভুত
আলুচা,হালচাষকারী
আলু চাউল,আতপ চাল
আলুর দোষ,লম্প্ট
আলুয়া,হালুয়া
আলুয়া,আতপ চাল
আলুয়া তাওয়া,শিরনি ও রুটি
আলুয়া শিকারি,আলো দিয়ে মাছ শিকারি
আলেক,সালামের জবাব
আলেগ জবর,অত্যাধিক পৃথক
আলের,হালের
আলো,ওগো
আলোগ,আলগা
আলোডলো,অঙ্গভঙ্গি
আলোতারা,আলো দিয়ে মাছ শিকারি
আলোর চা,হালচাষী
আশি,আয়না
আশুদদা,তৃপ্তি
আশলি,বিশুদ্ধ
আস,হাঁস
আসক,প্রেম
আস্তা,পুরোটা
আস্তাইয়া পস্তাইয়া,ইতস্তত করে
আসতুরা,ক্ষু্র
আসা,লাঠি
আসানক,চমৎকার
আসা্নকাততা,অবাক
আসা্ননখাতা,অশ্রুতপূর্ব
আসাপীর,ফকিরদের লাঠি
আসাবুয়া,অদৃষ্টপূর্ব
আসারবিসর,পদস্খলন
আসি,হাসি
আসিক,আসক্ত
আসিয়া,হেসে
আসিয়াল,জঞ্জাল
আসুদা,পরিতৃপ্তি সহকারে
আসে,হাসিে
আসেন,হাসেন
আহট,সাড়া
আহুশ,আসক্তি
আড়পথে,বাঁকাপথে
আড়ি,হাড়ি
আড়ুয়া,বুদ্ধিহীন
আড়ে,বাঁকা চোখে
আংখি,আঁখি
আংগট,শরীরের গঠন
আংগরখা,জামা
আংগা,জামা
আংগাজ,সহ্য করা
আংগাজী,সহনশীল
আংগাডাংগা,অস্বাভাবিক
আংগাভুনি,ধুতি পাঞ্জাবি
আংগি,ছেলেমেয়ের জামা
আংগুইট,আংটি
আংগুইল,আংঙ্গুল
আংটা,নাক কানের অলঙ্কার
আংবাং,যা তা
আংরা,কয়লা
আংসানো,আচড়ানো
আৎকা,হঠাৎ
ইআদরা,ইদানীং
ইও,ইয়ে
ইকর,একরকম ছোট গাছ
ইকপির,সাধু সন্ন্যাসী
ইকরিয়া,ক্ষুদ্র পাখি বিশেষ
ইকা,বুকের পার্শ্ব
ইকান হিকান,সর্ব স্থান
ইখটা,এইটা
ইখান,এখান
ইখানো,এখানে
ইখানতা,এ স্থানটি
ইগলা,এইটা
ইগু,এটা
ইগুইন,এগুলি
ইগুইন্তা,এইগুলিকে
ইগুতা,এটা
ইচরানো,পাট কাঠি থেকে পাট ছাড়ানো
ইচলতা,চালিতা
ইচা,চিংড়ি মাছ
ইচিবিয়া,স্বয়ম্বর প্রথায় বিবাহ
ইছতার,ইফতার
ইছিয়া,ইচছায়
ইজত,ইজ্জত
ইজা,কষ্ট
ইজাত,এধরনের
ইজাব কবুল,বিয়ের প্রস্তাব ও কবুল
ইজার,এজহার
ইজিবিজি,বিশুৃঙ্খলা
ইটা,ঢিল মারা
ইটানা ইটানি,ঢিল ছোড়াছুঁড়ি
ইটানি,ঢিল ছোড়া
ইটা,ইহা
ইডাহিডা,আজেবাজে বস্তু
ইত,হীত উপকার
ইতইত,ইহাতে
ইতর-কাইতর,মন্দলোক
ইতা,এইটা
ইতাপিতা,বাছবিচার
ইতায়,ইহাতে
ইতারলাগি,এজন্য
ইতারে,এইগুুলিকে
ইতাহিতা,এটাওটা
ইতি দেওয়া,শেষ
ইত্তিফাক,দোস্তি
ইতুত,ইহাতেে
ইথিকার,এখনকার
ইদুখ,এই দুঃখ
ইন,হীন
ইনতি,শেষ
ইনদাললা,মৃত ব্যক্তির নামে লোক খাওয়ানো
ইনদু,হিন্দু
ইনদেশন,ইঞ্জেকশন
ইনদিরা,কুয়া
ইনযাম,শেষ
ইনযামি,দায়ী
ইনরে,উনাকে
ইনরেদি,ওনাকে দিয়ে
ইনা,ইহা নয়
ইনাম,পুরস্কার
ইনে,ইনি
ইনো,এখানে
ইন্দিয়াল,ইন্দ্রজাল
ইপাকির,এনরকম
ইপায়,এদিকে
ইপাড়,এপাড়
ইপাড়ো,এপাড়ে
ইফিরা,এইবার
ইবলা,এখান
ইবা,এটা
ইবাজু,এদিক
ইবায়,এদিকে
ইবায়দি,এদিক দিয়ে
ইবায় হিবায়,এদিক সেদিক
ইবাড়ি,এ বাড়ি
ইবেতা,এ ধরণের
ইম,ঠান্ডা
ইমলা,এইবার
ইমলান,এভাবে
ইমিশ টিমিশ,দ্বিধাদন্ধ
ইযলের যরিমরি,হিজল গাছের ছাল বাকল
ইযার বনদোর গিরো,দূর সম্পর্কের আত্মীয়
ইয়াকত,লাভ
ইয়াদ,স্মরণ
ইয়ানফসি,আত্ম মুক্তির জন্য দোয়া
ইয়ানি,বেশি
ইয়ারানা,দোস্তি
ইয়ারি,বন্ধুত্ব
ইরাইদ,স্মরণ
ইরাল,প্রতিহিংসা
ইরালি,শত্রুতা
ইলত,কৃমি
ইলপিত,ভঙ্গুর
ইলফি,বিদ্রূপ
ইললত,বড় কৃমি
ইললা ফিললা,উত্তরাধিকারী
ইলা,এভাবে
ইলাখান,এভাবে
ইলান,এইরকম
ইলাকা,এলাকা
ইলিম,এলেম
ইশটম,টিকেট
ইশটিফিন,মোজা
ইশনিশ,বাছবিচার
ইশনিশ করা,কু-নজরে দেখা
ইসতক,পর্যন্ত
ইসাইসি,বাছাবাছি
ইসিয়াবর,স্বয়ম্বর
ইংসা,হিংসা
উআমরা,মনের ইচ্ছা
উআরা,বুনো
উকইন,উকুন
উকউকি,শক্তি প্রদর্শন
উককুত,হঠকারিতা
উককুুত তরানো,হঠাৎ রাগ করা
উকতা,অবা্ধ্য
উকতামি,বেয়াড়াপনা
উকরা,ধান মেশানো খৈ
উকরাইয়া,উপরাইয়া
উকরি মুকরি,মেষের লোমের মত কোঁকড়ানো
উকলি,লেঠা মাছ
